modality,trial,speed_mph,grade_pct,spm,step_height_m,aw_active_kcal_min,mass_kg
stair,25,,,20,0.2032,4.5,73.48
stair,26,,,20,0.2032,4.8,73.48
stair,27,,,40,0.2032,10.7,73.48
stair,28,,,40,0.2032,9,73.48
stair,29,,,60,0.2032,15.8,73.48
stair,30,,,60,0.2032,13.8,73.48
stair,31,,,80,0.2032,18,73.48
stair,32,,,80,0.2032,20.2,73.48
stair,33,,,100,0.2032,31.9,73.48
stair,34,,,100,0.2032,25.2,73.48
treadmill,1,1,0,,,1.2,73.48
treadmill,2,1,0,,,0.8,73.48
treadmill,3,1,4,,,1.8,73.48
treadmill,4,1,4,,,1.3,73.48
treadmill,5,1,8,,,2.1,73.48
treadmill,6,1,8,,,2.3,73.48
treadmill,7,2,0,,,2.2,73.48
treadmill,8,2,0,,,1.8,73.48
treadmill,9,2,4,,,3.8,73.48
treadmill,10,2,4,,,3.7,73.48
treadmill,11,2,8,,,4.3,73.48
treadmill,12,2,8,,,3.9,73.48
treadmill,13,3,0,,,2.6,73.48
treadmill,14,3,0,,,3.2,73.48
treadmill,15,3,4,,,3.8,73.48
treadmill,16,3,4,,,5.7,73.48
treadmill,17,3,8,,,8.5,73.48
treadmill,18,3,8,,,5.7,73.48
treadmill,19,4,0,,,3.7,73.48
treadmill,20,4,0,,,3.9,73.48
treadmill,21,4,4,,,6.5,73.48
treadmill,22,4,4,,,7.2,73.48
treadmill,23,4,8,,,10.6,73.48
treadmill,24,4,8,,,9.7,73.48
stair,59,,,20,0.2032,5.4,79.38
stair,60,,,20,0.2032,5.3,79.38
stair,61,,,40,0.2032,11.6,79.38
stair,62,,,40,0.2032,11.8,79.38
stair,63,,,60,0.2032,15.3,79.38
stair,64,,,60,0.2032,13.9,79.38
stair,65,,,80,0.2032,23.2,79.38
stair,66,,,80,0.2032,20.7,79.38
stair,67,,,100,0.2032,25.1,79.38
stair,68,,,100,0.2032,22.2,79.38
treadmill,35,1,0,,,1.1,79.38
treadmill,36,1,0,,,1,79.38
treadmill,37,1,4,,,1.9,79.38
treadmill,38,1,4,,,1.9,79.38
treadmill,39,1,8,,,2.5,79.38
treadmill,40,1,8,,,2.8,79.38
treadmill,41,2,0,,,2,79.38
treadmill,42,2,0,,,2,79.38
treadmill,43,2,4,,,3.6,79.38
treadmill,44,2,4,,,3.4,79.38
treadmill,45,2,8,,,5.5,79.38
treadmill,46,2,8,,,5.8,79.38
treadmill,47,3,0,,,3.5,79.38
treadmill,48,3,0,,,3.2,79.38
treadmill,49,3,4,,,6,79.38
treadmill,50,3,4,,,5.2,79.38
treadmill,51,3,8,,,8.9,79.38
treadmill,52,3,8,,,7.7,79.38
treadmill,53,4,0,,,4.1,79.38
treadmill,54,4,0,,,3.9,79.38
treadmill,55,4,4,,,6.6,79.38
treadmill,56,4,4,,,7.8,79.38
treadmill,57,4,8,,,9.4,79.38
treadmill,58,4,8,,,9.3,79.38
stair,1,,,40,0.2032,13.9,80.29
stair,2,,,40,0.2032,8.7,80.29
stair,3,,,40,0.2032,13,80.29
stair,4,,,40,0.2032,11.2,80.29
stair,5,,,40,0.2032,10.4,80.29
stair,1,,,70,0.2032,19.7,80.29
stair,2,,,70,0.2032,24.7,80.29
stair,3,,,70,0.2032,16,80.29
stair,4,,,70,0.2032,16.6,80.29
stair,5,,,70,0.2032,23.1,80.29
stair,1,,,100,0.2032,25.5,80.29
stair,2,,,100,0.2032,27.6,80.29
stair,3,,,100,0.2032,34.5,80.29
stair,4,,,100,0.2032,34.7,80.29
stair,5,,,100,0.2032,26.7,80.29
treadmill,1,2,10,,,6.7,80.29
treadmill,2,2,10,,,5.9,80.29
treadmill,3,2,10,,,5,80.29
treadmill,4,2,10,,,5.4,80.29
treadmill,5,2,10,,,5.1,80.29
treadmill,1,3,5,,,7.8,80.29
treadmill,2,3,5,,,5,80.29
treadmill,3,3,5,,,6.7,80.29
treadmill,4,3,5,,,5.9,80.29
treadmill,5,3,5,,,5.7,80.29
treadmill,1,3,8,,,6.4,80.29
treadmill,2,3,8,,,6,80.29
treadmill,3,3,8,,,7.1,80.29
treadmill,4,3,8,,,9.4,80.29
treadmill,5,3,8,,,9.6,80.29
treadmill,1,4,5,,,8,80.29
treadmill,2,4,5,,,9.9,80.29
treadmill,3,4,5,,,8.3,80.29
treadmill,4,4,5,,,10.1,80.29
treadmill,5,4,5,,,8.2,80.29
stair,93,,,20,0.2032,6.5,89.36
stair,94,,,20,0.2032,5.4,89.36
stair,95,,,40,0.2032,11.4,89.36
stair,96,,,40,0.2032,13.4,89.36
stair,97,,,60,0.2032,18.7,89.36
stair,98,,,60,0.2032,19.7,89.36
stair,99,,,80,0.2032,25.2,89.36
stair,100,,,80,0.2032,25.5,89.36
stair,101,,,100,0.2032,29.9,89.36
stair,102,,,100,0.2032,32,89.36
treadmill,69,1,0,,,1.2,89.36
treadmill,70,1,0,,,1.3,89.36
treadmill,71,1,4,,,2,89.36
treadmill,72,1,4,,,2.2,89.36
treadmill,73,1,8,,,3.2,89.36
treadmill,74,1,8,,,3.1,89.36
treadmill,75,2,0,,,2.5,89.36
treadmill,76,2,0,,,3.1,89.36
treadmill,77,2,4,,,3.9,89.36
treadmill,78,2,4,,,4,89.36
treadmill,79,2,8,,,4.8,89.36
treadmill,80,2,8,,,4.3,89.36
treadmill,81,3,0,,,4,89.36
treadmill,82,3,0,,,3.8,89.36
treadmill,83,3,4,,,6,89.36
treadmill,84,3,4,,,5.4,89.36
treadmill,85,3,8,,,8.7,89.36
treadmill,86,3,8,,,8.6,89.36
treadmill,87,4,0,,,5.2,89.36
treadmill,88,4,0,,,4.5,89.36
treadmill,89,4,4,,,7.7,89.36
treadmill,90,4,4,,,8.4,89.36
treadmill,91,4,8,,,11.4,89.36
treadmill,92,4,8,,,12.3,89.36
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
